id,sentiment
12311_10,0.99721646
8348_2,0.036323592
5828_4,0.84838974
7186_2,0.075548336
12128_7,0.8988348
2913_8,0.89080924
4396_1,0.06735546
395_2,0.20532486
10616_1,1.1968761e-05
9074_9,0.86003083
9252_3,0.14814372
9896_9,0.41930303
574_4,0.1922479
11182_8,0.07071292
11656_4,0.22217108
2322_4,0.6819717
8703_1,0.26296896
7483_1,0.40605032
6007_10,0.972307
12424_4,0.03931817
4672_1,0.016487364
10841_3,0.44436172
8954_7,0.14227879
7392_1,0.43633544
10288_8,0.98002076
5343_4,0.0015179277
4950_1,0.00015034404
9257_4,0.6817426
8689_3,0.27926397
4480_2,0.16132988
9286_10,0.86637855
12245_10,0.99988234
7529_7,0.94136894
4_4,0.008011047
5299_2,0.010454909
12077_8,0.9404226
10701_2,0.0075581106
11579_1,0.005910929
10993_1,0.22583596
8913_1,0.053397004
1350_3,0.1369903
3804_2,0.004095337
5025_3,0.08705647
5170_8,0.9435059
8225_8,0.9852824
6427_7,0.9077632
3165_3,0.030455222
7902_9,0.9985769
8208_3,0.0018839604
3577_8,0.93097955
4865_1,0.006351332
9063_3,0.067695186
1106_1,0.3031827
1117_9,0.99496126
1050_4,0.5746083
10755_9,0.87348396
2729_8,0.9607863
10072_10,0.9761875
2904_7,0.96047634
4584_2,0.89889127
189_4,0.036557775
6302_4,0.3942966
8138_9,0.43594125
1262_1,0.08880559
2199_10,0.95744866
6551_7,0.7005311
8082_7,0.18383862
4897_8,0.97773355
7360_1,0.14837237
11012_10,0.9801909
12046_1,0.83407795
2331_2,0.9241196
8961_9,0.9963257
751_7,0.88440037
9884_10,0.74645257
10016_8,0.9686387
8023_10,0.21281976
2628_1,0.0070948964
5832_1,0.018606627
7302_1,0.04865409
4501_3,0.18865006
1121_7,0.73301476
8334_3,0.4012226
9789_10,0.24451345
4230_10,0.99290305
824_4,0.05765329
6803_9,0.9888043
3086_7,0.99816626
1135_8,0.9395459
10136_1,0.043530334
11129_3,0.00818609
2072_8,0.56290734
9501_7,0.91744936
319_10,0.7799762
1693_7,0.97837776
10886_1,0.0072070747
9406_8,0.935323
10376_10,0.078557774
9902_1,0.027272908
9938_8,0.7875303
7080_9,0.95471424
11944_8,0.56846553
5249_1,0.0012250172
9599_2,0.16051215
9620_1,0.09883186
11244_1,0.30622047
6841_10,0.99996185
10050_4,0.9665845
10512_9,0.9950765
11327_3,0.0079622585
10681_8,0.9225217
808_3,0.39087138
546_7,0.99883074
10765_1,0.0015040826
7189_9,0.37227705
6005_9,0.88622165
11915_9,0.9867958
5740_10,0.9928389
7097_10,0.025902499
9573_10,0.92657095
5084_4,0.36059186
12332_7,0.5845384
8154_1,0.037229214
5610_1,0.04280929
5323_9,0.874946
11034_8,0.8927896
3977_2,0.10031124
12380_7,0.09991885
1737_8,0.5294569
6030_9,0.4444549
5918_7,0.9862948
7061_9,0.90381235
266_8,0.43158805
1375_10,0.9933049
8648_3,0.010658548
10146_10,0.97940505
4578_10,0.94552416
4685_8,0.9428327
11843_9,0.9641982
5467_10,0.9907569
10140_10,0.9586402
7721_8,0.989446
11208_10,0.3122062
1063_10,0.9418455
8260_10,0.6002476
3182_9,0.9573348
2797_8,0.9138795
7613_2,0.9622702
11624_4,0.26146886
4847_10,0.9993942
10684_7,0.91805637
6312_1,0.76012987
4925_3,0.006649942
4125_1,0.002919065
2394_10,0.9998723
12105_10,0.95191854
7812_1,0.03179301
1061_8,0.9533456
9343_3,0.13407743
7696_10,0.99943274
9355_10,0.9980326
782_9,0.9984642
9882_10,0.9999844
10642_10,0.99796057
7410_2,0.0027628422
9591_4,0.020523991
11902_3,0.323408
3495_7,0.13183002
6733_1,0.00013584281
4552_1,0.0033301453
6722_1,0.11828018
188_10,0.98661476
5099_10,0.95000774
10313_1,0.73935306
6756_9,0.86033183
6622_2,0.014814714
4807_10,0.99510384
7173_3,0.41314375
11321_8,0.63313997
7909_9,0.35447216
8012_7,0.02787929
8615_4,0.2106937
8117_10,0.9045707
1892_10,0.94233155
4617_1,0.19506055
1893_8,0.93480456
5435_1,0.028053971
162_3,0.024773087
6516_10,0.96201485
11588_7,0.90533364
2006_1,0.01217615
1594_4,0.43741634
1472_1,0.0065761567
3647_1,0.16046657
174_7,0.9434607
5539_7,0.020469554
3384_10,0.98774
3811_4,0.579737
4079_8,0.51771134
1179_7,0.8836087
3069_9,0.99984
3769_8,0.9243578
9247_10,0.91727716
10434_1,0.0026426543
1147_10,0.9913265
5344_7,0.98625594
8073_10,0.9734352
7833_3,0.0040176613
8370_1,0.076193206
9007_8,0.013269847
6624_7,0.36627322
6683_3,0.02775465
12275_7,0.13572483
11927_8,0.9756859
1560_10,0.99596405
1325_9,0.9006698
3548_8,0.16638859
607_1,0.0008829748
6702_7,0.5121016
5702_3,0.049592238
11345_8,0.9495047
3428_4,0.06689999
7209_9,0.999027
8425_8,0.89429015
3087_1,0.016755447
1119_8,0.9409736
5715_3,0.6847821
8645_1,0.06827005
2149_3,0.014684579
10403_10,0.690344
5628_1,0.027278604
5570_10,0.9904851
1613_3,0.027436763
1454_4,0.97967887
5094_3,0.022605203
7982_1,0.18028086
6894_2,0.43765336
6554_1,0.2021397
4721_3,0.48855782
6904_4,0.023359656
893_8,0.977729
4605_4,0.53001827
11516_7,0.56123924
11718_7,0.99919945
5956_1,0.0115330415
7455_9,0.9786245
6396_4,0.9082796
1223_8,0.8671753
8556_1,0.016147418
6108_8,0.78644073
11690_1,0.00015633824
3778_9,0.9533913
3627_4,0.22384936
8256_4,0.31261936
533_1,0.0011778522
5235_4,0.12797272
621_2,0.03714562
5365_1,0.362543
8180_3,0.25452617
7396_7,0.054474674
9776_10,0.96099776
8175_10,0.974572
3128_1,0.436817
4606_1,0.014819232
6158_2,0.06125328
3281_10,0.6517428
4723_4,0.024557907
11994_3,0.078363374
7701_1,0.0004676861
103_3,0.4727604
8908_10,0.9326909
8876_1,0.009199907
7519_9,0.7656654
12456_8,0.583044
9514_8,0.42213076
8680_8,0.41702667
12402_10,0.97266746
362_2,0.010267832
9825_7,0.865952
2913_3,0.23998125
7164_8,0.8378956
11177_7,0.8796509
5707_10,0.99837494
8103_10,0.96290845
6289_1,0.0031709883
11754_1,0.22184154
11640_10,0.9986413
9933_7,0.77233726
185_10,0.9944951
242_10,0.9932296
9369_8,0.8275696
7453_10,0.8235655
7514_7,0.11434368
10860_2,0.014190892
8663_8,0.39880133
9108_1,0.011222533
7941_1,0.0039012677
10116_1,0.0009581763
9841_4,0.43093374
4512_9,0.8004749
4853_2,0.06944539
2664_4,0.28437543
9966_10,0.9856102
5167_2,0.03891036
3894_2,0.03283116
3929_8,0.6032481
7165_10,0.97664714
5451_8,0.34550753
2947_4,0.81875056
4611_10,0.9947035
5807_1,0.046693332
9464_8,0.9257972
3124_10,0.8355571
2705_4,0.944867
12187_8,0.9984257
12319_10,0.98295754
9874_3,0.14755547
3406_4,0.7620642
2327_10,0.99851376
605_10,0.9009102
8080_4,0.079039454
3074_10,0.99662685
2499_3,0.059080243
1013_1,0.6302744
11535_1,0.008623134
4118_7,0.661611
10492_8,0.9986879
2129_4,0.059578404
9814_10,0.085589804
10671_9,0.5977496
5980_10,0.9975573
2755_2,0.08978139
5461_2,0.38442162
11979_1,0.15658984
8810_1,0.006154587
852_7,0.9299461
10961_4,0.08356647
7436_4,0.05473449
11281_3,0.749703
4208_3,0.28157723
8213_10,0.7931131
9851_2,0.31455913
4713_7,0.663971
9528_1,0.80983424
3595_10,0.9886925
5785_3,0.8038753
10370_3,0.01539604
1980_3,0.5991376
8800_4,0.26571697
4437_3,0.3004315
28_3,0.6847869
12171_1,0.125674
9359_3,0.06034205
3831_9,0.9990049
10962_7,0.99218166
1500_9,0.91449004
11470_10,0.94180775
11843_3,0.038513213
11200_4,0.59771156
1067_1,0.002210935
3333_1,0.0053964145
4487_4,0.6909451
6428_1,0.10324441
575_7,0.12841786
10904_9,0.95778626
11821_2,0.309256
11605_1,0.17587334
1111_7,0.7138971
10295_1,0.6937496
1146_4,0.5301587
2405_9,0.43324307
11081_10,0.8963188
2201_10,0.99078137
4844_1,0.08005197
11007_8,0.9955225
6535_7,0.84264106
2653_4,0.067518584
8245_10,0.92428994
9951_8,0.94645256
6133_8,0.29252622
10006_2,0.034673166
7350_1,0.6788843
4509_9,0.9877814
948_1,0.0019228389
3987_1,0.09138181
2947_10,0.095044486
6041_3,0.01699857
2946_1,0.112031184
11967_4,0.011166015
1185_10,0.99995744
10323_2,0.78274363
11706_2,0.0010195986
3663_1,0.1738984
5602_10,0.9993938
4870_10,0.83988965
1994_1,0.061446663
10807_7,0.9802346
6871_3,0.99547726
1175_2,0.02327865
10919_7,0.99914813
8127_10,0.75100774
12497_4,0.7394227
3274_1,0.8148066
2568_3,0.0027756735
840_2,0.052423347
5626_10,0.9999722
7561_10,0.9994381
4600_3,0.3381877
3324_9,0.4844957
8899_7,0.90094674
5592_8,0.64463854
12483_4,0.05878761
7874_1,0.0015664271
5878_10,0.7245862
4303_9,0.43340445
9421_1,0.010240493
10269_4,0.025488488
10615_2,0.39052144
2634_10,0.98661405
7522_1,0.005492261
9289_10,0.8862163
4636_10,0.8737711
1241_7,0.23200622
9458_9,0.73474586
11690_10,0.99280727
7176_4,0.34769478
6212_10,0.9794151
6319_1,0.077385426
5229_3,0.18301533
466_9,0.9979673
8693_2,0.63872814
2952_10,0.9966106
1128_1,0.18718223
3975_10,0.39039722
11365_10,0.9281951
2074_9,0.6260712
9768_10,0.99995697
4895_1,0.15040724
5726_10,0.95671487
9993_10,0.9971226
11319_2,0.95469236
10561_2,0.21329166
5455_8,0.7161489
10684_3,0.42322972
3652_3,0.120222025
7825_1,0.059751898
8806_1,0.0068133464
275_10,0.7841877
2246_1,0.016396325
11968_2,0.0010423105
2528_1,0.28930053
8491_8,0.88527775
13_1,0.14347419
4530_8,0.9943562
5207_3,0.04317887
11648_10,0.63103616
8260_1,0.0812253
10730_10,0.96263254
10402_3,0.40560937
8077_1,0.0028121863
8598_8,0.87168807
2809_3,0.011208758
12490_10,0.9961205
1447_9,0.9699081
1605_3,0.0645999
2311_4,0.020621244
3235_9,0.7996928
5725_10,0.9553984
9025_10,0.94204813
6049_9,0.73331404
4803_10,0.99667406
191_9,0.9908337
420_3,0.56932944
5238_2,0.00023596408
1280_9,0.9181422
9408_4,0.059894364
819_1,4.491799e-07
1656_4,0.03982279
9964_3,0.08411978
10404_4,0.8673747
12369_10,0.99972636
6423_1,0.011232755
9942_8,0.74181116
1519_1,0.005876883
100_10,0.9771302
3216_10,0.9718464
3909_10,0.60084003
5034_7,0.99310124
14_8,0.9998956
5891_3,0.056712292
8496_10,0.9999728
7429_1,0.01128135
9457_1,0.00023189152
9602_8,0.9718469
4198_1,0.06162819
154_2,0.028201412
5070_2,0.053057976
4207_8,0.8201186
7758_8,0.6295797
4439_9,0.99813217
12042_1,0.015104524
7244_1,0.0005710879
6854_1,0.0019038382
11932_10,0.9020387
4151_10,0.95047873
7265_1,0.052312165
10272_7,0.9819925
4256_4,0.1685403
1225_7,0.8870452
956_10,0.99290025
6389_2,0.0026481042
1365_4,0.09087799
4752_7,0.72210646
276_10,0.9958395
8766_9,0.98380727
11225_10,0.5684383
6920_1,8.550999e-05
11536_1,0.024495527
1923_9,0.98139966
11460_10,0.7807633
10054_7,0.90076315
10845_1,0.0002800059
10231_4,0.48497725
9430_8,0.5998272
3226_2,0.04628127
4298_3,0.31408125
10635_4,0.20043279
10567_4,0.031142673
5460_10,0.9627146
7310_7,0.9491579
10330_2,0.02679673
5151_9,0.89990777
11_3,0.86531895
1448_8,0.51197326
10130_8,0.82831305
2199_3,0.03678075
1761_10,0.9829096
2782_1,0.018152613
7618_10,0.99730754
85_10,0.6501497
5730_3,0.033077978
3641_1,0.13258676
8190_9,0.9907006
9533_10,0.9987453
9508_1,9.101678e-05
237_8,0.998425
3981_7,0.21395679
7194_9,0.7136132
10584_8,0.7814356
248_2,0.03073239
8358_4,0.0003311567
1218_1,0.0038759103
4191_10,0.08193729
3090_8,0.9463103
11923_2,0.07570808
1640_8,0.9594481
9972_3,0.0024918718
11818_4,0.65609556
4350_10,0.99754274
877_10,0.6096016
10017_8,0.7682753
7975_10,0.9994236
8436_1,0.040282097
6024_7,0.5847664
3112_1,0.028338315
951_10,0.9846485
1622_1,0.018264018
191_3,0.20246764
5669_1,0.05975874
1891_4,0.07924669
12173_9,0.81138456
7887_7,0.72637475
3256_10,0.17537989
5419_1,0.00036103014
7635_1,0.09005566
8297_2,0.030811653
7137_8,0.62735826
7562_3,0.20514905
9944_1,0.0006267444
4288_1,0.00021617107
8087_1,0.31963256
4771_10,0.99017394
10482_10,0.9762689
5324_10,0.99943787
3080_1,0.0017661679
10923_7,0.83843327
1753_7,0.9674173
317_10,0.7930167
12474_8,0.81718475
773_8,0.9991628
388_1,0.10353389
12141_2,0.6551486
5667_1,0.46895978
1071_9,0.9475582
2897_10,0.9919808
9481_4,0.072613314
12025_1,0.01506957
8879_7,0.9506918
5683_1,0.020949218
7026_1,0.0024811954
2439_1,0.13023329
3631_7,0.7593753
1650_9,0.07594765
5378_7,0.9931357
9745_1,0.00036602138
11563_8,0.8952664
299_8,0.9521354
9471_2,0.034859393
1866_1,0.45088097
2639_4,0.009504284
5122_1,0.08986954
12341_7,0.8885959
2936_8,0.997445
8647_10,0.5533501
4255_9,0.8985848
7262_8,0.29489294
8413_10,0.9940137
10080_1,0.0079649445
3973_1,0.75307053
8752_9,0.999946
4018_2,0.027020173
7669_1,0.034591462
10421_4,0.1409543
7854_8,0.97599596
162_8,0.9708309
11614_9,0.5449467
11343_8,0.99055755
1708_7,0.18794978
7115_4,0.4061833
10498_10,0.23287964
2944_8,0.9178686
10474_3,0.38198486
1263_1,0.14078264
1693_4,0.94206953
9600_9,0.6151721
11173_2,0.3413919
3961_2,0.07258442
8011_1,0.18372269
7386_8,0.56776595
8787_8,0.9950181
12349_9,0.96150553
1776_4,0.1817916
5885_4,0.90962684
220_4,0.032847103
5547_8,0.9992649
2853_1,0.12333098
2157_2,0.056293998
11667_2,0.01705088
194_7,0.90721375
1633_1,0.005254919
6897_2,0.07944515
11568_2,0.078199625
9219_1,0.032453254
477_8,0.9588815
8980_3,0.8708886
4612_10,0.90512246
8030_10,0.9645018
1846_8,0.99961746
2786_8,0.96430224
2634_1,0.022518292
3110_8,0.9867193
11587_8,0.8451685
11262_8,0.55321944
5680_7,0.23892792
4583_4,0.08489815
1451_1,0.007393374
4244_4,0.08921118
6176_4,0.012832922
8851_10,0.9967181
908_9,0.89615434
7494_9,0.19765769
8061_3,0.0945244
789_1,0.3796409
2374_7,0.9363132
11225_3,0.06323429
4467_4,0.0058404813
8516_10,0.023705745
4121_10,0.99031645
10267_7,0.45027852
6040_8,0.6630701
8338_7,0.98298347
2903_7,0.993804
6662_9,0.9728248
5333_10,0.993718
7470_4,0.010116941
8813_1,0.051622324
4514_3,0.99881965
9584_7,0.29668558
11706_8,0.98249304
11538_8,0.84302795
4210_1,0.01690648
8984_1,0.0025240905
3431_4,0.0686858
4973_10,0.9731707
12260_1,0.022095006
4267_10,0.9884594
9906_9,0.9985519
670_7,0.97813123
6270_3,0.0074640373
5164_4,0.07888983
9741_2,0.01670515
3761_8,0.56501603
2651_2,0.21232668
7448_10,0.9249146
7184_9,0.99881494
1313_9,0.9504598
10654_8,0.98226166
7151_1,0.010258794
2320_10,0.72985005
12033_7,0.2850686
6429_1,0.014200475
1420_4,0.8789613
3002_7,0.9515821
1299_1,0.11017019
7897_9,0.9171565
1529_4,0.13948524
9760_2,0.036408193
11318_1,0.00022182887
2217_3,0.005779564
11641_2,0.13967961
7238_10,0.98310965
7710_8,0.96436775
12011_8,0.982566
4495_7,0.99191463
11144_4,0.6068524
5625_2,0.035222534
2926_7,0.1320401
8538_8,0.7902832
8875_10,0.94909793
10881_10,0.9917818
1662_7,0.98679125
4560_9,0.9787496
6714_4,0.0011255163
9059_10,0.9481458
6631_10,0.6801241
8520_1,0.005368292
918_4,0.4231157
3102_10,0.9216547
3611_2,0.007389662
8434_10,0.97912544
681_7,0.9994343
7386_4,0.03523892
